batch,scenario,doctrine,score,assignments
simulated_campaign_batch_14.json,066,aggressive,284.70906127929686,3
simulated_campaign_batch_14.json,066,fortress,728.6772104644775,2
simulated_campaign_batch_14.json,066,economy,331.9076605987549,2
simulated_campaign_batch_14.json,066,ambush,252.92365882873534,2
simulated_campaign_batch_14.json,066,saturation,323.89870918273925,2
simulated_campaign_batch_14.json,066,scout,232.60958374023437,2
simulated_campaign_batch_14.json,067,balanced,-8.098871612548834,6
simulated_campaign_batch_14.json,067,aggressive,212.59808959960935,15
simulated_campaign_batch_14.json,067,fortress,287.23019828796384,6
simulated_campaign_batch_14.json,067,economy,-107.97509193420407,6
simulated_campaign_batch_14.json,067,ambush,-191.40961189270016,6
simulated_campaign_batch_14.json,067,saturation,-6.5569217681884595,6
simulated_campaign_batch_14.json,067,scout,-206.04622192382809,6
simulated_campaign_batch_14.json,068,balanced,501.1495564270019,10
simulated_campaign_batch_14.json,068,aggressive,263.0556005859375,10
simulated_campaign_batch_14.json,068,fortress,793.9377307891846,10
simulated_campaign_batch_14.json,068,economy,401.14903297424314,10
simulated_campaign_batch_14.json,068,ambush,324.4978534698486,10
simulated_campaign_batch_14.json,068,saturation,380.0672214508056,10
simulated_campaign_batch_14.json,068,scout,303.11113647460934,10
simulated_campaign_batch_14.json,069,balanced,136.70012893676756,0
simulated_campaign_batch_14.json,069,aggressive,350.3197180175781,6
simulated_campaign_batch_14.json,069,fortress,432.08596382141116,0
simulated_campaign_batch_14.json,069,economy,38.29668006896975,0
simulated_campaign_batch_14.json,069,ambush,201.3735584259033,3
simulated_campaign_batch_14.json,069,saturation,37.73397865295411,0
simulated_campaign_batch_14.json,069,scout,183.9428283691406,3
simulated_campaign_batch_14.json,070,balanced,490.40839378356935,15
simulated_campaign_batch_14.json,070,aggressive,308.6610339355468,20
simulated_campaign_batch_14.json,070,fortress,787.3236291122437,15
simulated_campaign_batch_14.json,070,economy,392.0772077560424,15
simulated_campaign_batch_14.json,070,ambush,309.7684652328491,15
simulated_campaign_batch_14.json,070,saturation,419.01537792205806,19
simulated_campaign_batch_14.json,070,scout,290.3536120605469,15
simulated_campaign_batch_15.json,071,balanced,381.02488861083987,3
simulated_campaign_batch_15.json,071,aggressive,301.1641540527344,6
simulated_campaign_batch_15.json,071,fortress,675.344295501709,3
simulated_campaign_batch_15.json,071,economy,280.1058219909668,3
simulated_campaign_batch_15.json,071,ambush,185.24745712280273,3
simulated_campaign_batch_15.json,071,saturation,279.9596488952637,3
simulated_campaign_batch_15.json,071,scout,164.71940917968752,3
simulated_campaign_batch_15.json,072,balanced,325.0555762481689,14
simulated_campaign_batch_15.json,072,aggressive,357.6025146484375,20
simulated_campaign_batch_15.json,072,fortress,611.1205086135864,14
simulated_campaign_batch_15.json,072,economy,236.61486515045164,14
simulated_campaign_batch_15.json,072,ambush,309.5965684890747,17
simulated_campaign_batch_15.json,072,saturation,271.568071937561,14
simulated_campaign_batch_15.json,072,scout,303.8305676269531,17
simulated_campaign_batch_15.json,073,balanced,437.8823432922363,1
simulated_campaign_batch_15.json,073,aggressive,299.2461853027344,2
simulated_campaign_batch_15.json,073,fortress,726.6287281036376,1
simulated_campaign_batch_15.json,073,economy,333.25441017150877,1
simulated_campaign_batch_15.json,073,ambush,250.9542011260986,1
simulated_campaign_batch_15.json,073,saturation,333.74170875549316,1
simulated_campaign_batch_15.json,073,scout,240.10107421874997,1
simulated_campaign_batch_15.json,074,balanced,515.4846116638183,15
simulated_campaign_batch_15.json,074,aggressive,278.15625854492185,15
simulated_campaign_batch_15.json,074,fortress,811.7485695648193,15
simulated_campaign_batch_15.json,074,economy,415.45421928405756,15
simulated_campaign_batch_15.json,074,ambush,337.06242759704594,15
simulated_campaign_batch_15.json,074,saturation,392.394926071167,15
simulated_campaign_batch_15.json,074,scout,320.22149047851565,15
simulated_campaign_batch_15.json,075,balanced,274.52329406738284,5
simulated_campaign_batch_15.json,075,aggressive,295.3201477050781,10
simulated_campaign_batch_15.json,075,fortress,578.8012924194336,5
simulated_campaign_batch_15.json,075,economy,184.5991989135742,5
simulated_campaign_batch_15.json,075,ambush,268.0794467163086,7
simulated_campaign_batch_15.json,075,saturation,183.52601776123046,5
simulated_campaign_batch_15.json,075,scout,247.98999145507813,7
simulated_campaign_batch_16.json,076,balanced,417.52724609374997,0
simulated_campaign_batch_16.json,076,aggressive,289.15593017578124,2
simulated_campaign_batch_16.json,076,fortress,714.6835723876952,0
simulated_campaign_batch_16.json,076,economy,318.4959991455078,0
simulated_campaign_batch_16.json,076,ambush,238.25813903808591,0
simulated_campaign_batch_16.json,076,saturation,317.93329772949215,0
simulated_campaign_batch_16.json,076,scout,218.33934936523437,0
simulated_campaign_batch_16.json,077,balanced,514.1298620605469,12
simulated_campaign_batch_16.json,077,aggressive,378.6206530761719,12
simulated_campaign_batch_16.json,077,fortress,796.7276098632813,12
simulated_campaign_batch_16.json,077,economy,409.93987915039065,12
simulated_campaign_batch_16.json,077,ambush,321.05416503906247,12
simulated_campaign_batch_16.json,077,saturation,495.4505859375,12
simulated_campaign_batch_16.json,077,scout,304.6413098144531,12
simulated_campaign_batch_16.json,078,balanced,537.3487048339844,20
simulated_campaign_batch_16.json,078,aggressive,299.96979858398436,20
simulated_campaign_batch_16.json,078,fortress,834.2615411376952,20
simulated_campaign_batch_16.json,078,economy,438.57203796386716,20
simulated_campaign_batch_16.json,078,ambush,358.94669372558593,20
simulated_campaign_batch_16.json,078,saturation,401.04022644042965,20
simulated_campaign_batch_16.json,078,scout,337.741748046875,20
simulated_campaign_batch_16.json,079,balanced,90.3330982208252,6
simulated_campaign_batch_16.json,079,aggressive,316.03983642578123,12
simulated_campaign_batch_16.json,079,fortress,381.10092792510983,6
simulated_campaign_batch_16.json,079,economy,-9.072751426696783,6
simulated_campaign_batch_16.json,079,ambush,255.89159107208252,12
simulated_campaign_batch_16.json,079,saturation,95.10170536041261,6
simulated_campaign_batch_16.json,079,scout,224.8115625,12
simulated_campaign_batch_16.json,080,balanced,522.6955066680907,3
simulated_campaign_batch_16.json,080,aggressive,324.5575927734375,3
simulated_campaign_batch_16.json,080,fortress,805.5661348342895,3
simulated_campaign_batch_16.json,080,economy,429.00106143951416,3
simulated_campaign_batch_16.json,080,ambush,351.8210924148559,3
